Crop,Actual Rainfall (mm),Predicted Rainfall (mm),Difference (mm)
muskmelon,26.31,24.05,2.25
watermelon,49.43,50.11,-0.68
papaya,114.78,126.82,-12.04
papaya,98.54,171.21,-72.67
apple,118.6,110.07,8.53
mango,94.11,95.59,-1.48
apple,110.98,116.08,-5.1
mothbeans,59.0,47.01,11.98
mungbean,56.53,47.35,9.18
lentil,50.9,43.24,7.65
blackgram,71.21,66.25,4.96
coconut,178.73,157.21,21.52
pomegranate,108.55,106.54,2.0
jute,164.27,187.35,-23.08
coconut,134.84,182.08,-47.24
pomegranate,103.88,107.6,-3.72
apple,109.59,112.33,-2.74
maize,67.73,83.5,-15.77
papaya,238.5,104.53,133.97
muskmelon,24.16,25.22,-1.07
coffee,175.37,159.41,15.97
papaya,77.72,150.87,-73.15
orange,107.99,112.22,-4.23
papaya,202.06,143.21,58.85
chickpea,78.26,80.99,-2.73
jute,169.34,176.75,-7.41
mungbean,55.3,49.33,5.97
orange,117.37,107.83,9.54
pigeonpeas,159.69,153.93,5.76
rice,197.98,222.66,-24.68
pomegranate,111.97,108.48,3.49
mothbeans,36.94,51.96,-15.02
jute,193.1,164.79,28.31
lentil,36.1,44.39,-8.29
jute,189.97,179.29,10.68
blackgram,66.47,68.48,-2.01
jute,177.51,166.02,11.5
chickpea,70.87,85.42,-14.55
chickpea,90.78,78.26,12.51
kidneybeans,60.92,104.17,-43.25
papaya,241.82,89.51,152.31
mango,96.09,92.87,3.22
blackgram,61.71,68.0,-6.29
maize,67.97,85.29,-17.32
mungbean,54.8,46.59,8.21
maize,105.01,83.02,21.99
pigeonpeas,120.74,138.24,-17.5
coconut,160.39,180.66,-20.27
muskmelon,20.39,23.43,-3.04
maize,74.05,84.99,-10.94
blackgram,72.43,64.27,8.16
coffee,140.63,148.65,-8.02
grapes,69.82,68.91,0.91
mungbean,49.12,46.04,3.07
coffee,122.21,155.96,-33.75
kidneybeans,98.78,104.72,-5.94
cotton,60.65,72.03,-11.38
apple,123.59,115.6,7.99
banana,102.46,105.52,-3.06
blackgram,63.18,69.21,-6.03
watermelon,57.45,59.44,-2.0
coconut,132.15,166.48,-34.33
lentil,51.92,46.17,5.75
orange,110.69,112.55,-1.86
papaya,46.44,100.3,-53.85
pigeonpeas,90.05,169.55,-79.49
orange,118.33,121.95,-3.62
rice,295.92,230.15,65.78
muskmelon,22.84,24.49,-1.65
pigeonpeas,192.44,162.39,30.05
muskmelon,26.32,24.25,2.07
coconut,150.2,162.19,-11.99
jute,183.83,186.22,-2.39
banana,101.05,95.86,5.19
blackgram,60.47,69.12,-8.65
papaya,209.87,164.64,45.23
banana,92.78,105.51,-12.73
cotton,92.92,79.26,13.66
watermelon,54.31,50.55,3.76
orange,117.37,109.77,7.6
coffee,120.65,165.52,-44.87
chickpea,89.62,81.63,7.99
rice,192.32,274.49,-82.17
mothbeans,70.47,58.85,11.62
orange,103.57,111.59,-8.02
mango,95.89,95.32,0.58
coffee,141.48,150.1,-8.62
mothbeans,52.08,60.41,-8.33
blackgram,70.25,67.78,2.47
pomegranate,104.88,108.31,-3.43
maize,87.76,81.68,6.08
mothbeans,66.36,51.23,15.12
cotton,90.42,86.17,4.25
papaya,144.67,83.58,61.08
pigeonpeas,136.83,151.87,-15.04
mothbeans,68.8,54.0,14.81
kidneybeans,113.33,111.06,2.27
coffee,119.63,155.96,-36.33
blackgram,61.91,69.5,-7.59
lentil,50.91,46.28,4.63
coconut,195.41,156.41,39.0
rice,204.8,226.4,-21.6
orange,103.2,111.5,-8.3
muskmelon,20.76,25.42,-4.66
watermelon,55.74,50.25,5.49
kidneybeans,140.37,80.59,59.79
watermelon,42.01,50.98,-8.97
banana,105.42,104.11,1.32
pigeonpeas,194.59,168.76,25.84
mothbeans,32.81,54.37,-21.55
banana,92.83,100.97,-8.14
jute,184.98,185.84,-0.86
cotton,86.85,73.25,13.6
pomegranate,108.31,109.81,-1.5
pigeonpeas,173.17,172.21,0.96
chickpea,94.04,81.18,12.86
maize,109.22,82.27,26.94
coconut,204.96,171.31,33.65
pomegranate,103.2,107.55,-4.35
rice,243.51,205.7,37.81
pigeonpeas,153.25,172.76,-19.51
grapes,69.28,69.39,-0.11
blackgram,74.92,68.18,6.73
coconut,141.32,157.87,-16.55
chickpea,65.11,84.63,-19.52
blackgram,65.45,65.16,0.29
coconut,194.9,209.15,-14.25
maize,87.93,80.51,7.42
banana,100.66,103.55,-2.89
mothbeans,32.77,55.92,-23.15
banana,105.08,104.0,1.08
kidneybeans,62.21,83.61,-21.4
pomegranate,109.39,109.43,-0.04
chickpea,77.93,77.64,0.29
coconut,162.84,156.32,6.52
orange,111.78,113.6,-1.82
pigeonpeas,127.78,168.68,-40.9
banana,110.33,104.63,5.7
banana,103.5,105.12,-1.61
apple,114.74,110.3,4.44
kidneybeans,61.14,119.67,-58.53
muskmelon,26.04,25.72,0.32
mungbean,43.14,43.5,-0.36
mothbeans,70.8,55.92,14.87
coconut,212.87,163.01,49.85
maize,107.49,95.7,11.79
apple,114.05,111.37,2.68
coconut,214.41,193.14,21.28
kidneybeans,107.73,102.55,5.18
mothbeans,72.19,50.46,21.74
mungbean,44.64,43.08,1.56
lentil,35.37,43.73,-8.36
watermelon,44.08,53.8,-9.72
mungbean,42.02,48.2,-6.18
pigeonpeas,108.63,158.22,-49.58
pigeonpeas,91.96,132.56,-40.6
pigeonpeas,177.58,172.14,5.44
kidneybeans,104.78,96.43,8.34
maize,70.43,71.03,-0.6
jute,173.1,171.05,2.05
chickpea,94.78,86.66,8.12
apple,105.36,112.42,-7.06
orange,114.13,108.09,6.04
cotton,90.76,80.38,10.38
rice,208.58,211.79,-3.21
coconut,149.22,183.97,-34.75
grapes,74.08,72.01,2.08
lentil,37.11,45.44,-8.33
watermelon,43.53,56.22,-12.69
grapes,66.01,66.96,-0.95
grapes,65.7,70.35,-4.65
blackgram,71.37,66.8,4.57
pomegranate,109.44,106.91,2.53
chickpea,66.97,79.61,-12.64
coconut,156.77,167.46,-10.69
maize,108.76,79.47,29.29
lentil,42.72,45.9,-3.17
grapes,65.7,70.88,-5.17
watermelon,59.66,53.83,5.82
jute,155.39,176.04,-20.66
coffee,144.66,168.69,-24.03
coffee,190.23,187.69,2.54
kidneybeans,63.59,107.88,-44.29
jute,166.22,177.93,-11.72
mothbeans,41.54,59.11,-17.58
kidneybeans,82.69,90.72,-8.03
banana,107.39,105.18,2.22
kidneybeans,146.45,123.63,22.82
coconut,178.96,167.84,11.13
papaya,135.17,148.65,-13.48
papaya,141.34,169.16,-27.83
mungbean,55.04,47.24,7.79
mango,97.46,94.04,3.42
pomegranate,110.97,107.6,3.37
watermelon,57.74,57.65,0.1
kidneybeans,146.47,75.09,71.38
maize,62.91,83.88,-20.97
apple,121.66,113.37,8.29
blackgram,70.41,68.92,1.49
chickpea,76.33,81.86,-5.53
grapes,67.15,68.79,-1.64
grapes,69.87,69.36,0.51
banana,111.02,99.65,11.37
cotton,77.55,84.88,-7.33
rice,210.81,224.17,-13.36
pomegranate,109.42,109.25,0.17
mungbean,59.87,49.34,10.53
banana,119.09,105.87,13.21
jute,193.71,184.11,9.61
mungbean,48.57,47.55,1.01
maize,79.74,92.76,-13.02
chickpea,80.5,80.9,-0.4
chickpea,74.59,77.3,-2.72
chickpea,76.58,77.93,-1.35
apple,116.7,105.2,11.51
rice,217.38,222.19,-4.81
kidneybeans,120.69,117.87,2.82
papaya,63.69,135.99,-72.3
coffee,139.5,163.06,-23.56
blackgram,68.84,67.45,1.39
kidneybeans,104.63,95.07,9.56
mango,97.41,95.73,1.68
mango,96.24,98.34,-2.11
coconut,165.82,212.71,-46.88
papaya,197.4,160.01,37.39
apple,105.4,112.03,-6.63
chickpea,76.32,79.82,-3.5
pomegranate,112.19,109.05,3.14
chickpea,89.61,86.98,2.63
muskmelon,26.02,27.63,-1.61
apple,107.18,114.41,-7.23
muskmelon,23.5,25.61,-2.12
muskmelon,25.08,23.64,1.44
mango,100.31,94.98,5.32
mango,95.05,96.02,-0.97
cotton,93.51,90.39,3.12
coconut,145.42,157.03,-11.62
pomegranate,109.09,108.0,1.1
rice,265.54,244.2,21.34
muskmelon,20.76,21.45,-0.68
coffee,156.68,140.08,16.6
papaya,88.47,137.16,-48.69
mothbeans,36.92,42.44,-5.52
maize,79.85,99.9,-20.05
mango,90.3,96.35,-6.06
muskmelon,24.94,25.52,-0.58
pigeonpeas,91.31,157.53,-66.22
mungbean,56.69,56.77,-0.08
coffee,136.3,169.06,-32.76
grapes,66.34,66.92,-0.58
coconut,218.52,167.37,51.16
cotton,71.95,80.2,-8.25
pigeonpeas,150.87,172.55,-21.68
rice,269.5,226.9,42.6
apple,100.83,109.94,-9.11
pomegranate,107.61,106.56,1.05
coffee,181.42,175.12,6.3
chickpea,83.76,80.82,2.94
cotton,90.65,83.5,7.15
jute,176.53,180.19,-3.66
mango,89.59,93.54,-3.95
banana,91.46,104.1,-12.64
papaya,248.86,88.25,160.61
apple,118.68,112.91,5.77
chickpea,77.54,81.13,-3.59
rice,188.41,246.07,-57.66
pigeonpeas,94.47,115.59,-21.12
mothbeans,68.55,62.8,5.75
mungbean,38.8,47.03,-8.23
jute,171.49,168.82,2.67
pomegranate,109.81,106.11,3.7
grapes,70.08,68.25,1.83
mothbeans,74.44,55.1,19.34
jute,151.49,180.55,-29.06
maize,74.51,101.2,-26.68
coconut,209.85,187.91,21.93
maize,62.49,80.23,-17.73
chickpea,69.1,81.77,-12.68
banana,110.1,109.47,0.63
rice,182.56,251.94,-69.37
coconut,171.76,164.92,6.84
jute,190.56,162.14,28.41
mango,98.29,95.71,2.57
muskmelon,26.26,23.83,2.43
apple,124.98,105.39,19.59
banana,112.98,101.56,11.42
pigeonpeas,186.5,134.29,52.21
blackgram,68.02,66.6,1.42
orange,107.43,109.67,-2.24
chickpea,90.46,77.33,13.14
watermelon,43.88,47.05,-3.17
banana,93.1,109.39,-16.29
apple,111.78,107.06,4.72
chickpea,78.97,85.71,-6.75
coffee,147.28,139.78,7.49
pigeonpeas,108.51,158.42,-49.91
orange,115.36,114.73,0.63
apple,116.04,116.06,-0.02
